playerId,name,team,position,toi,gamesPlayed,fantasyPoints,FPP60,FPPG,fullName,birthDate,shootsCatches,height,weight,roster_percent,default_pos,espnId
8475660,C. Talbot,LAK,G,25172,7,44.0,6.29,6.29,Cam Talbot,1987-07-05,L,76,200,80.38071214876517,G,5734
8476453,N. Kucherov,TBL,R,11978,9,38.4,11.54,4.27,Nikita Kucherov,1993-06-17,L,71,182,99.87699876998771,RW,2563060
8480069,C. Makar,COL,D,14689,10,37.1,9.09,3.71,Cale Makar,1998-10-30,R,71,187,99.90773826958,D,4233563
8476887,F. Forsberg,NSH,L,11439,10,35.5,11.17,3.55,Filip Forsberg,1994-08-13,R,73,205,89.14565211024221,LW,2968772
8478499,A. Hill,VGK,G,21614,6,34.800000000000004,5.8,5.8,Adin Hill,1996-05-11,L,76,215,92.99406027718706,G,3939714
8476468,J. Miller,VAN,C,11803,10,33.5,10.22,3.35,J.T. Miller,1993-03-14,L,73,218,99.73347391851917,C,2590852
8477956,D. Pastrnak,BOS,R,11590,10,33.4,10.37,3.34,David Pastrnak,1996-05-25,R,72,196,99.91067767820535,RW,3114778
8478398,K. Connor,WPG,L,11723,10,33.0,10.13,3.3,Kyle Connor,1996-12-09,L,73,183,99.27071434847554,LW,3899952
8477501,V. Nichushkin,COL,R,13240,10,32.9,8.95,3.29,Valeri Nichushkin,1995-03-04,L,76,210,72.31643382245264,RW,3042003
8477492,N. MacKinnon,COL,C,13517,10,32.7,8.71,3.27,Nathan MacKinnon,1995-09-01,R,72,200,99.90041882669946,C,3041969
8479318,A. Matthews,TOR,C,12269,10,32.1,9.42,3.21,Auston Matthews,1997-09-17,L,75,215,99.91360627891993,C,4024123
8477465,T. Jarry,PIT,G,23822,7,31.8,4.81,4.54,Tristan Jarry,1995-04-29,L,74,194,83.4584702017832,G,3042020
8476945,C. Hellebuyck,WPG,G,28737,8,31.000000000000004,3.88,3.88,Connor Hellebuyck,1993-05-19,L,76,207,99.21683654762778,G,3020225
8478010,B. Point,TBL,C,12341,10,30.400000000000002,8.87,3.04,Brayden Point,1996-03-13,R,70,178,99.6588180167516,C,3151187
8477939,W. Nylander,TOR,R,12242,10,29.8,8.76,2.98,William Nylander,1996-05-01,R,72,202,99.83746266034089,RW,3114736
8477933,S. Reinhart,FLA,C,12093,10,28.5,8.48,2.85,Sam Reinhart,1995-11-06,R,74,193,98.63527206700638,RW,3114722
8479292,C. Lindgren,WSH,G,17888,5,28.200000000000003,5.68,5.64,Charlie Lindgren,1993-12-18,R,74,179,14.677890044140723,G,3095975
8478550,A. Panarin,NYR,L,11986,10,27.8,8.35,2.78,Artemi Panarin,1991-10-30,R,72,175,98.09787383588122,LW,3891952
8476885,J. Trouba,NYR,D,14597,10,27.5,6.78,2.75,Jacob Trouba,1994-02-26,R,75,209,97.37589691023575,D,2976839
8475745,C. Coyle,BOS,C,10453,10,27.4,9.44,2.74,Charlie Coyle,1992-03-02,R,75,218,32.829614010425814,C,2555315
8474564,S. Stamkos,TBL,C,10633,10,27.4,9.28,2.74,Steven Stamkos,1990-02-07,R,73,193,99.39231535172495,C,5037
8475184,C. Kreider,NYR,L,11217,10,27.3,8.76,2.73,Chris Kreider,1991-04-30,L,75,233,88.47888478884789,LW,5833
8471675,S. Crosby,PIT,C,11556,10,27.099999999999998,8.44,2.71,Sidney Crosby,1987-08-07,L,71,200,99.8067123528378,C,3114
8475786,Z. Hyman,EDM,L,12090,10,26.6,7.92,2.66,Zach Hyman,1992-06-09,R,73,206,91.70986732273086,RW,5509
8474565,A. Pietrangelo,VGK,D,13938,10,26.6,6.87,2.66,Alex Pietrangelo,1990-01-18,R,75,215,97.30683615488255,D,4013
8480800,Q. Hughes,VAN,D,15479,10,26.3,6.12,2.63,Quinn Hughes,1999-10-14,L,70,180,99.01294593169703,D,4320548
8476389,V. Trocheck,NYR,C,12537,10,26.1,7.49,2.61,Vincent Trocheck,1993-07-11,R,71,187,82.15896444678734,C,2563036
8478402,C. McDavid,EDM,C,13141,10,26.099999999999998,7.15,2.61,Connor McDavid,1997-01-13,L,73,194,99.87698796239346,C,3895074
8478403,J. Eichel,VGK,C,12413,10,25.8,7.48,2.58,Jack Eichel,1996-10-28,R,74,203,99.7290806314618,C,3648002
