playerId,name,team,position,toi,gamesPlayed,fantasyPoints,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain,fullName,birthDate,shootsCatches,height,weight,roster_percent,default_pos,espnId
8481559,J. Hughes,NJD,C,21649,17,57.6,9.58,3.39,0,60,203.4,Jack Hughes,2001-05-14,L,71,175,99.71112041945315,C,4565222
8475660,C. Talbot,LAK,G,56970,16,67.80000000000001,4.28,4.24,0,45,196.13,Cam Talbot,1987-07-05,L,76,200,82.24292306134552,G,5734
8476453,N. Kucherov,TBL,R,31088,24,82.5,9.55,3.44,0,57,196.07999999999998,Nikita Kucherov,1993-06-17,L,71,182,99.87433738246212,RW,2563060
8479318,A. Matthews,TOR,C,28457,22,71.4,9.03,3.25,0,60,195.0,Auston Matthews,1997-09-17,L,75,215,99.91622492164142,C,4024123
8480069,C. Makar,COL,D,33757,23,75.9,8.09,3.3,0,58,191.39999999999998,Cale Makar,1998-10-30,R,71,187,99.9061059991044,D,4233563
8476468,J. Miller,VAN,C,30022,25,77.8,9.33,3.11,0,57,177.26999999999998,J.T. Miller,1993-03-14,L,73,218,99.72410804564495,C,2590852
8477956,D. Pastrnak,BOS,R,28095,24,73.3,9.39,3.05,0,58,176.89999999999998,David Pastrnak,1996-05-25,R,72,196,99.90611413632227,RW,3114778
8480865,N. Dobson,NYI,D,34704,23,68.7,7.13,2.99,0,59,176.41000000000003,Noah Dobson,2000-01-07,R,76,200,95.59872887476527,D,4352732
8478402,C. McDavid,EDM,C,26057,20,58.9,8.14,2.94,0,60,176.4,Connor McDavid,1997-01-13,L,73,194,99.88010977899754,C,3895074
8483495,S. Nemec,NJD,D,1358,1,2.9,7.69,2.9,0,60,174.0,Simon Nemec,2004-02-15,R,73,190,4.512494583273147,D,4915344
8478550,A. Panarin,NYR,L,26852,23,67.5,9.05,2.93,0,59,172.87,Artemi Panarin,1991-10-30,R,72,175,98.12083832854275,LW,3891952
8477933,S. Reinhart,FLA,C,29735,24,71.2,8.62,2.97,0,58,172.26000000000002,Sam Reinhart,1995-11-06,R,74,193,98.66537633787355,RW,3114722
8477939,W. Nylander,TOR,R,27297,22,62.4,8.23,2.84,0,60,170.39999999999998,William Nylander,1996-05-01,R,72,202,99.82233905796369,RW,3114736
8477492,N. MacKinnon,COL,C,32192,24,69.1,7.73,2.88,0,58,167.04,Nathan MacKinnon,1995-09-01,R,72,200,99.89888776541962,C,3041969
8476885,J. Trouba,NYR,D,31471,23,63.5,7.26,2.76,0,59,162.83999999999997,Jacob Trouba,1994-02-26,R,75,209,97.629640329337,D,2976839
8477967,T. Demko,VAN,G,63744,18,71.0,4.01,3.94,0,40,162.6,Thatcher Demko,1995-12-08,L,76,192,-2.0,S,0
8478499,A. Hill,VGK,G,50083,14,71.60000000000001,5.15,5.11,0,31,160.97,Adin Hill,1996-05-11,L,76,215,92.5504831337152,G,3939714
8478366,F. Vatrano,ANA,R,26454,24,66.2,9.01,2.76,0,58,160.07999999999998,Frank Vatrano,1994-03-14,L,71,197,90.96056622851366,RW,3527554
8480801,B. Tkachuk,OTT,L,22257,19,47.7,7.72,2.51,0,63,158.13,Brady Tkachuk,1999-09-16,L,76,225,99.57101382288793,LW,4319858
8479325,C. McAvoy,BOS,D,29477,20,53.9,6.58,2.7,0,58,156.60000000000002,Charlie McAvoy,1997-12-21,R,73,209,99.15932399248881,D,3988803
8480800,Q. Hughes,VAN,D,37174,25,68.4,6.62,2.74,0,57,156.18,Quinn Hughes,1999-10-14,L,70,180,99.03650309850202,D,4320548
8475786,Z. Hyman,EDM,L,24609,21,54.6,7.99,2.6,0,60,156.0,Zach Hyman,1992-06-09,R,73,206,92.28369204102268,RW,5509
8478420,M. Rantanen,COL,R,31928,24,64.0,7.22,2.67,0,58,154.85999999999999,Mikko Rantanen,1996-10-29,L,76,215,99.89455438393759,RW,3899938
8477934,L. Draisaitl,EDM,C,28609,22,56.5,7.11,2.57,0,60,154.2,Leon Draisaitl,1995-10-27,L,74,209,99.90322534051681,C,3114727
8479323,A. Fox,NYR,D,16414,13,33.9,7.44,2.61,0,59,153.98999999999998,Adam Fox,1998-02-17,R,71,185,99.60277336414849,D,4197146
8478013,J. Walman,DET,D,25702,21,54.9,7.69,2.61,0,59,153.98999999999998,Jake Walman,1996-02-20,L,73,218,83.43492705474506,D,3151136
8481542,M. Seider,DET,D,31134,23,59.8,6.91,2.6,0,59,153.4,Moritz Seider,2001-04-06,R,75,205,99.3918821320237,D,4565227
8479979,J. Oettinger,DAL,G,57663,16,56.20000000000001,3.51,3.51,0,43,153.23,Jake Oettinger,1998-12-18,L,78,224,98.7863796794538,G,4196914
8476887,F. Forsberg,NSH,L,27950,24,63.3,8.15,2.64,0,58,153.12,Filip Forsberg,1994-08-13,R,73,205,91.13534594828832,LW,2968772
8480803,E. Bouchard,EDM,D,29265,22,56.1,6.9,2.55,0,60,153.0,Evan Bouchard,1999-10-20,R,75,192,95.84988516041429,D,4352722
8480012,E. Pettersson,VAN,C,29780,25,66.9,8.09,2.68,0,57,152.76000000000002,Elias Pettersson,1998-11-12,L,74,176,99.83966488516539,C,4233566
8480280,J. Swayman,BOS,G,44988,13,63.400000000000006,5.07,4.88,0,29,152.0,Jeremy Swayman,1998-11-24,L,75,195,94.16801666280953,G,4712036
8470794,J. Pavelski,DAL,C,21316,22,55.4,9.36,2.52,0,60,151.2,Joe Pavelski,1984-07-11,R,73,196,89.54066156290625,RW,3451
8478493,J. Eriksson Ek,MIN,C,26703,22,54.9,7.4,2.5,0,60,150.0,Joel Eriksson Ek,1997-01-29,L,75,207,97.18619095767731,C,3904091
8478971,C. Ingram,ARI,G,46446,14,58.2,4.51,4.16,0,33,148.93,Connor Ingram,1997-03-31,L,74,196,26.123936816524907,G,4063522
8478403,J. Eichel,VGK,C,30397,25,65.1,7.71,2.6,0,57,148.20000000000002,Jack Eichel,1996-10-28,R,74,203,99.69088545428284,C,3648002
8476875,M. Matheson,MTL,D,35808,24,61.3,6.16,2.55,0,58,147.89999999999998,Mike Matheson,1994-02-27,L,74,196,89.43088256536184,D,2976851
8475169,E. Kane,EDM,L,24328,22,54.1,8.01,2.46,0,60,147.6,Evander Kane,1991-08-02,L,74,218,78.62631807020078,LW,5251
8479407,J. Bratt,NJD,L,25866,22,53.7,7.47,2.44,0,60,146.4,Jesper Bratt,1998-07-30,L,70,175,95.98168503459334,RW,4268771
8481567,H. Thrun,SJS,D,2225,2,5.1,8.25,2.55,0,57,145.35,Henry Thrun,2001-03-12,L,74,190,1.151284903289179,D,4997138
8478483,M. Marner,TOR,R,28404,22,53.0,6.72,2.41,0,60,144.60000000000002,Mitchell Marner,1997-05-05,R,72,180,99.62012335158089,RW,3899937
8471675,S. Crosby,PIT,C,26731,23,56.1,7.56,2.44,0,59,143.96,Sidney Crosby,1987-08-07,L,71,200,99.77467392717347,C,3114
8475692,M. Zuccarello,MIN,R,24157,22,52.6,7.84,2.39,0,60,143.4,Mats Zuccarello,1987-09-01,L,68,181,84.04448938321536,RW,5560
8478398,K. Connor,WPG,L,28578,23,55.9,7.04,2.43,0,59,143.37,Kyle Connor,1996-12-09,L,73,183,99.2387693196591,LW,3899952
